Sending build context to Docker daemon  788.7MB
Step 1/14 : FROM fedora:latest
 ---> 536f3995adeb
Step 2/14 : WORKDIR /usr/src/app
 ---> Using cache
 ---> a2a86053c04e
Step 3/14 : RUN dnf -y install	R	wget	apt	perl        cpanminus    &&  rm -rf /var/lib/apt/lists/*
 ---> Using cache
 ---> 97c4bb33472d
Step 4/14 : RUN cpanm File::Spec::Link
 ---> Using cache
 ---> da111276356e
Step 5/14 : RUN INSTALL_PATH=/usr/src/app/anaconda     && wget http://repo.continuum.io/miniconda/Miniconda2-latest-Linux-x86_64.sh     && bash Miniconda2-latest* -fbp $INSTALL_PATH
 ---> Using cache
 ---> f4c38fbf0a05
Step 6/14 : ENV PATH=/root/anaconda/bin:$PATH
 ---> Using cache
 ---> 4fc6e2444523
Step 7/14 : ENV PATH=/usr/src/app/anaconda/bin:$PATH
 ---> Using cache
 ---> 4b72dd1d00e8
Step 8/14 : ENV LD_LIBRARY_PATH=$LD_LIBRARY_PATH:/usr/lib64
 ---> Using cache
 ---> aca090f8318c
Step 9/14 : ENV LD_LIBRARY_PATH=$LD_LIBRARY_PATH:/usr/src/app/code/Reapr_1.0.18_for_Evaldna/third_party/pezmaster31-bamtools/lib
 ---> Running in 3b5551fe4daa
Removing intermediate container 3b5551fe4daa
 ---> 7065bd3e0d74
Step 10/14 : RUN conda install -y --channel=r --channel=bioconda --channel=conda-forge        biopython==1.74         numpy==1.16.5         python==2.7.15         r-caret==6.0_83         r-randomforest==4.6_14         samtools==1.9     && conda clean -ya
 ---> Running in 1f2227202e12
Collecting package metadata (current_repodata.json): ...working... done
Solving environment: ...working... failed with initial frozen solve. Retrying with flexible solve.
Collecting package metadata (repodata.json): ...working... done
Solving environment: ...working... done
[91m

==> WARNING: A newer version of conda exists. <==
  current version: 4.7.12
  latest version: 4.8.3

Please update conda by running

    $ conda update -n base -c defaults conda


[0m
## Package Plan ##

  environment location: /usr/src/app/anaconda

  added / updated specs:
    - biopython==1.74
    - numpy==1.16.5
    - python==2.7.15
    - r-caret==6.0_83
    - r-randomforest==4.6_14
    - samtools==1.9


The following packages will be downloaded:

    package                    |            build
    ---------------------------|-----------------
    _r-mutex-1.0.1             |      anacondar_1           3 KB  conda-forge
    binutils_impl_linux-64-2.34|       h53a641e_0         9.2 MB  conda-forge
    binutils_linux-64-2.34     |      hc952b39_18          21 KB  conda-forge
    biopython-1.74             |   py27h516909a_0         2.5 MB  conda-forge
    bwidget-1.9.14             |                0         119 KB  conda-forge
    bzip2-1.0.8                |       h516909a_2         396 KB  conda-forge
    ca-certificates-2020.4.5.1 |       hecc5488_0         146 KB  conda-forge
    cairo-1.14.12              |       h8948797_3         906 KB
    certifi-2019.11.28         |   py27h8c360ce_1         149 KB  conda-forge
    conda-4.8.3                |   py27h8c360ce_1         3.0 MB  conda-forge
    curl-7.68.0                |       hf8cf82a_0         137 KB  conda-forge
    fontconfig-2.13.0          |       h9420a91_0         227 KB
    freetype-2.10.1            |       he06d7ca_0         877 KB  conda-forge
    fribidi-1.0.9              |       h516909a_0         113 KB  conda-forge
    gcc_impl_linux-64-7.3.0    |       habb00fd_1        41.9 MB
    gcc_linux-64-7.3.0         |      h553295d_18          22 KB  conda-forge
    gettext-0.19.8.1           |    hc5be6a0_1002         3.6 MB  conda-forge
    gfortran_impl_linux-64-7.3.0|       hdf63c60_5         9.4 MB  conda-forge
    gfortran_linux-64-7.3.0    |      h553295d_18          21 KB  conda-forge
    glib-2.56.2                |    had28632_1001         4.7 MB  conda-forge
    graphite2-1.3.13           |    he1b5a44_1001         102 KB  conda-forge
    gsl-2.4                    |    h294904e_1006         2.6 MB  conda-forge
    gxx_impl_linux-64-7.3.0    |       hdf63c60_1        15.0 MB
    gxx_linux-64-7.3.0         |      h553295d_18          21 KB  conda-forge
    harfbuzz-1.9.0             |    he243708_1001         957 KB  conda-forge
    htslib-1.9                 |       h4da6232_3         1.2 MB  bioconda
    icu-58.2                   |    hf484d3e_1000        22.6 MB  conda-forge
    jpeg-9c                    |    h14c3975_1001         251 KB  conda-forge
    krb5-1.16.4                |       h173b8e3_0         1.2 MB
    ld_impl_linux-64-2.34      |       h53a641e_0         616 KB  conda-forge
    libblas-3.8.0              |      14_openblas          10 KB  conda-forge
    libcblas-3.8.0             |      14_openblas          10 KB  conda-forge
    libcurl-7.68.0             |       hda55be3_0         564 KB  conda-forge
    libdeflate-1.2             |       h516909a_1          63 KB  bioconda
    libgfortran-ng-7.3.0       |       hdf63c60_5         1.7 MB  conda-forge
    libiconv-1.15              |    h516909a_1006         2.0 MB  conda-forge
    liblapack-3.8.0            |      14_openblas          10 KB  conda-forge
    libopenblas-0.3.7          |       h5ec1e0e_6         7.6 MB  conda-forge
    libpng-1.6.37              |       hed695b0_1         308 KB  conda-forge
    libssh2-1.8.2              |       h22169c7_2         257 KB  conda-forge
    libtiff-4.1.0              |       hc7e4089_6         668 KB  conda-forge
    libuuid-1.0.3              |       h1bed415_2          15 KB
    libwebp-base-1.1.0         |       h516909a_3         845 KB  conda-forge
    libxcb-1.13                |    h14c3975_1002         396 KB  conda-forge
    libxml2-2.9.9              |       h13577e0_2         1.3 MB  conda-forge
    lz4-c-1.9.2                |       he1b5a44_0         223 KB  conda-forge
    make-4.3                   |       h516909a_0         505 KB  conda-forge
    numpy-1.16.5               |   py27h95a1406_0         4.3 MB  conda-forge
    openssl-1.1.1g             |       h516909a_0         2.1 MB  conda-forge
    pango-1.42.4               |       h049681c_0         464 KB
    pcre-8.44                  |       he1b5a44_0         261 KB  conda-forge
    pixman-0.38.0              |    h516909a_1003         594 KB  conda-forge
    pthread-stubs-0.4          |    h14c3975_1001           5 KB  conda-forge
    python-2.7.15              |       h9bab390_6         9.7 MB
    python_abi-2.7             |         1_cp27mu           4 KB  conda-forge
    r-assertthat-0.2.1         |    r36h6115d3f_0          74 KB  r
    r-base-3.6.1               |       h9bb98a2_1        39.7 MB  r
    r-bh-1.69.0_1              |    r36h6115d3f_0        10.9 MB  r
    r-caret-6.0_83             |    r36h96ca727_0         6.0 MB  r
    r-class-7.3_15             |    r36h96ca727_0          93 KB  r
    r-cli-1.1.0                |    r36h6115d3f_0         189 KB  r
    r-codetools-0.2_16         |    r36h6115d3f_0         107 KB  r
    r-colorspace-1.4_1         |    r36h96ca727_0         2.5 MB  r
    r-crayon-1.3.4             |    r36h6115d3f_0         757 KB  r
    r-data.table-1.12.2        |    r36h96ca727_0         1.5 MB  r
    r-dichromat-2.0_0          |    r36h6115d3f_4         163 KB  r
    r-digest-0.6.18            |    r36h96ca727_0         155 KB  r
    r-dplyr-0.8.0.1            |    r36h29659fb_0         1.9 MB  r
    r-fansi-0.4.0              |    r36h96ca727_0         193 KB  r
    r-foreach-1.4.4            |    r36h6115d3f_0         412 KB  r
    r-generics-0.0.2           |    r36h6115d3f_0          82 KB  r
    r-ggplot2-3.1.1            |    r36h6115d3f_0         3.6 MB  r
    r-glue-1.3.1               |    r36h96ca727_0         165 KB  r
    r-gower-0.2.0              |    r36h96ca727_0         173 KB  r
    r-gtable-0.3.0             |    r36h6115d3f_0         425 KB  r
    r-ipred-0.9_8              |    r36h96ca727_0         393 KB  r
    r-iterators-1.0.10         |    r36h6115d3f_0         340 KB  r
    r-kernsmooth-2.23_15       |    r36ha65eedd_4         102 KB  r
    r-labeling-0.3             |    r36h6115d3f_4          71 KB  r
    r-lattice-0.20_38          |    r36h96ca727_0         1.1 MB  r
    r-lava-1.6.5               |    r36h6115d3f_0         2.2 MB  r
    r-lazyeval-0.2.2           |    r36h96ca727_0         164 KB  r
    r-lubridate-1.7.4          |    r36h29659fb_0         1.1 MB  r
    r-magrittr-1.5             |    r36h6115d3f_4         173 KB  r
    r-mass-7.3_51.3            |    r36h96ca727_0         1.1 MB  r
    r-matrix-1.2_17            |    r36h96ca727_0         3.8 MB  r
    r-mgcv-1.8_28              |    r36h96ca727_0         2.6 MB  r
    r-modelmetrics-1.2.2       |    r36h29659fb_0         160 KB  r
    r-munsell-0.5.0            |    r36h6115d3f_0         254 KB  r
    r-nlme-3.1_139             |    r36ha65eedd_0         2.2 MB  r
    r-nnet-7.3_12              |    r36h96ca727_0         119 KB  r
    r-numderiv-2016.8_1        |    r36h6115d3f_0         132 KB  r
    r-pillar-1.3.1             |    r36h6115d3f_0         180 KB  r
    r-pkgconfig-2.0.2          |    r36h6115d3f_0          25 KB  r
    r-plogr-0.2.0              |    r36h6115d3f_0          20 KB  r
    r-plyr-1.8.4               |    r36h29659fb_0         815 KB  r
    r-prodlim-2018.04.18       |    r36h29659fb_0         408 KB  r
    r-purrr-0.3.2              |    r36h96ca727_0         397 KB  r
    r-r6-2.4.0                 |    r36h6115d3f_0          68 KB  r
    r-randomforest-4.6_14      |    r36ha65eedd_0         229 KB  r
    r-rcolorbrewer-1.1_2       |    r36h6115d3f_0          62 KB  r
    r-rcpp-1.0.1               |    r36h29659fb_0         3.3 MB  r
    r-rcpproll-0.3.0           |    r36h29659fb_0         117 KB  r
    r-recipes-0.1.5            |    r36h6115d3f_0         1.4 MB  r
    r-reshape2-1.4.3           |    r36h29659fb_0         129 KB  r
    r-rlang-0.3.4              |    r36h96ca727_0         1.0 MB  r
    r-rpart-4.1_15             |    r36h96ca727_0         719 KB  r
    r-scales-1.0.0             |    r36h29659fb_0         580 KB  r
    r-squarem-2017.10_1        |    r36h6115d3f_0         302 KB  r
    r-stringi-1.4.3            |    r36h29659fb_0         773 KB  r
    r-stringr-1.4.0            |    r36h6115d3f_0         221 KB  r
    r-survival-2.44_1.1        |    r36h96ca727_0         4.8 MB  r
    r-tibble-2.1.1             |    r36h96ca727_0         316 KB  r
    r-tidyr-0.8.3              |    r36h29659fb_0         446 KB  r
    r-tidyselect-0.2.5         |    r36h29659fb_0         138 KB  r
    r-timedate-3043.102        |    r36h6115d3f_0         1.6 MB  r
    r-utf8-1.1.4               |    r36h96ca727_0         159 KB  r
    r-viridislite-0.3.0        |    r36h6115d3f_0          66 KB  r
    r-withr-2.1.2              |    r36h6115d3f_0         181 KB  r
    samtools-1.9               |      h10a08f8_12         299 KB  bioconda
    tktable-2.10               |       h14c3975_0          86 KB
    xorg-libxau-1.0.9          |       h14c3975_0          13 KB  conda-forge
    xorg-libxdmcp-1.1.3        |       h516909a_0          18 KB  conda-forge
    xz-5.2.5                   |       h516909a_0         430 KB  conda-forge
    zstd-1.4.4                 |       h6597ccf_3         991 KB  conda-forge
    ------------------------------------------------------------
                                           Total:       260.7 MB

The following NEW packages will be INSTALLED:

  _r-mutex           conda-forge/noarch::_r-mutex-1.0.1-anacondar_1
  binutils_impl_lin~ conda-forge/linux-64::binutils_impl_linux-64-2.34-h53a641e_0
  binutils_linux-64  conda-forge/linux-64::binutils_linux-64-2.34-hc952b39_18
  biopython          conda-forge/linux-64::biopython-1.74-py27h516909a_0
  bwidget            conda-forge/linux-64::bwidget-1.9.14-0
  bzip2              conda-forge/linux-64::bzip2-1.0.8-h516909a_2
  cairo              pkgs/main/linux-64::cairo-1.14.12-h8948797_3
  curl               conda-forge/linux-64::curl-7.68.0-hf8cf82a_0
  fontconfig         pkgs/main/linux-64::fontconfig-2.13.0-h9420a91_0
  freetype           conda-forge/linux-64::freetype-2.10.1-he06d7ca_0
  fribidi            conda-forge/linux-64::fribidi-1.0.9-h516909a_0
  gcc_impl_linux-64  pkgs/main/linux-64::gcc_impl_linux-64-7.3.0-habb00fd_1
  gcc_linux-64       conda-forge/linux-64::gcc_linux-64-7.3.0-h553295d_18
  gettext            conda-forge/linux-64::gettext-0.19.8.1-hc5be6a0_1002
